,STATE,variable,value
0,A & N Islands,MURDER,160
1,Andhra Pradesh,MURDER,31756
2,Arunachal Pradesh,MURDER,841
3,Assam,MURDER,15432
4,Bihar,MURDER,41245
5,Chandigarh,MURDER,243
6,Chhattisgarh,MURDER,12060
7,D & N Haveli,MURDER,108
8,Daman & Diu,MURDER,68
9,Goa,MURDER,487
10,Gujarat,MURDER,13775
11,Haryana,MURDER,10471
12,Himachal Pradesh,MURDER,1454
13,Jammu & Kashmir,MURDER,6304
14,Jharkhand,MURDER,19060
15,Karnataka,MURDER,19937
16,Kerala,MURDER,4733
17,Lakshadweep,MURDER,3
18,Madhya Pradesh,MURDER,28399
19,Maharashtra,MURDER,32767
20,Manipur,MURDER,1955
21,Meghalaya,MURDER,1730
22,Mizoram,MURDER,403
23,Nagaland,MURDER,1038
24,Odisha,MURDER,14453
25,Puducherry,MURDER,357
26,Punjab,MURDER,9493
27,Rajasthan,MURDER,15844
28,Sikkim,MURDER,166
29,Tamil Nadu,MURDER,20127
30,Tripura,MURDER,2022
31,Uttar Pradesh,MURDER,65443
32,Uttarakhand,MURDER,2948
33,West Bengal,MURDER,21056
34,A & N Islands,THEFT,1124
35,Andhra Pradesh,THEFT,287190
36,Arunachal Pradesh,THEFT,5178
37,Assam,THEFT,85475
38,Bihar,THEFT,153372
39,Chandigarh,THEFT,18474
40,Chhattisgarh,THEFT,62873
41,D & N Haveli,THEFT,773
42,Daman & Diu,THEFT,564
43,Goa,THEFT,8045
44,Gujarat,THEFT,213207
45,Haryana,THEFT,131394
46,Himachal Pradesh,THEFT,9658
47,Jammu & Kashmir,THEFT,25767
48,Jharkhand,THEFT,71322
49,Karnataka,THEFT,199960
50,Kerala,THEFT,62353
51,Lakshadweep,THEFT,113
52,Madhya Pradesh,THEFT,263860
53,Maharashtra,THEFT,556807
54,Manipur,THEFT,4834
55,Meghalaya,THEFT,6004
56,Mizoram,THEFT,9803
57,Nagaland,THEFT,3802
58,Odisha,THEFT,82837
59,Puducherry,THEFT,7366
60,Punjab,THEFT,50503
61,Rajasthan,THEFT,232974
62,Sikkim,THEFT,1019
63,Tamil Nadu,THEFT,185160
64,Tripura,THEFT,4623
65,Uttar Pradesh,THEFT,312047
66,Uttarakhand,THEFT,20035
