STATE/UT,Crime head,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Total Male,Total Female,Grand Total
A & N ISLANDS,17,0,0,11,1,4,1,0,0,0,0,15,2,17
A & N ISLANDS,7.00,0,0,5,0,2,0,0,0,0,0,7,0,7
A & N ISLANDS,3,0,0,1,1,0,0,0,1,0,0,1,2,3
A & N ISLANDS,4,0,0,1,0,2,0,1,0,0,0,4,0,4
A & N ISLANDS,20,0,0,9,0,8,0,2,0,1,0,20,0,20
A & N ISLANDS,6,0,0,2,0,4,0,0,0,0,0,6,0,6
A & N ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,16,0,0,5,7,2,2,0,0,0,0,7,9,16
A & N ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,73,0,0,34,9,22,3,3,1,1,0,60,13,73
ANDHRA PRADESH,1664,81,0,993,77,347,31,111,16,8,0,1540,124,1664
ANDHRA PRADESH,1764,56,3,1018,57,420,49,131,16,13,1,1638,126,1764
ANDHRA PRADESH,1267,1,2,439,93,313,108,178,99,23,11,954,313,1267
ANDHRA PRADESH,21251,4,1,7650,1390,5780,1740,2358,1511,563,254,16355,4896,21251
ANDHRA PRADESH,4834,42,1,2570,84,1569,79,403,35,51,0,4635,199,4834
ANDHRA PRADESH,4348,95,0,2751,41,1194,27,215,11,12,2,4267,81,4348
ANDHRA PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,1354,0,0,501,253,337,165,71,23,3,1,912,442,1354
ANDHRA PRADESH,26,1,0,4,5,10,3,3,0,0,0,18,8,26
ANDHRA PRADESH,2780,0,0,953,277,820,238,350,107,16,19,2139,641,2780
ANDHRA PRADESH,39288,280,7,16879,2277,10790,2440,3820,1818,689,288,32458,6830,39288
ARUNACHAL PRADESH,47,2,0,41,0,4,0,0,0,0,0,47,0,47
ARUNACHAL PRADESH,49,0,0,27,0,22,0,0,0,0,0,49,0,49
ARUNACHAL PRADESH,2,0,0,0,0,2,0,0,0,0,0,2,0,2
ARUNACHAL PRADESH,26,0,0,7,0,19,0,0,0,0,0,26,0,26
ARUNACHAL PRADESH,77,5,0,67,0,5,0,0,0,0,0,77,0,77
ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,1,0,0,1,0,0,0,0,0,0,0,1,0,1
ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,202,7,0,143,0,52,0,0,0,0,0,202,0,202
ASSAM,1626,58,0,746,0,642,2,178,0,0,0,1624,2,1626
ASSAM,2689,52,0,1185,13,1125,26,282,1,5,0,2649,40,2689
ASSAM,215,0,0,40,5,108,8,49,3,2,0,199,16,215
ASSAM,5435,4,2,2141,34,2567,19,656,7,5,0,5373,62,5435
ASSAM,2250,24,0,1081,0,1048,0,92,0,5,0,2250,0,2250
ASSAM,12,0,0,5,0,7,0,0,0,0,0,12,0,12
ASSAM,2,0,0,0,0,2,0,0,0,0,0,2,0,2
ASSAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,51,0,0,12,1,38,0,0,0,0,0,50,1,51
ASSAM,3,0,0,0,0,3,0,0,0,0,0,3,0,3
ASSAM,63,0,0,31,0,30,2,0,0,0,0,61,2,63
ASSAM,12346,138,2,5241,53,5570,57,1257,11,17,0,12223,123,12346
BIHAR,1327,31,0,829,0,416,0,49,0,2,0,1327,0,1327
BIHAR,4639,91,0,2546,51,1342,62,503,11,33,0,4515,124,4639
BIHAR,3994,3,13,1462,209,1125,243,525,301,82,31,3197,797,3994
BIHAR,6963,12,8,2969,225,1803,515,762,456,141,72,5687,1276,6963
BIHAR,278,15,0,198,0,59,0,6,0,0,0,278,0,278
BIHAR,39,2,0,37,0,0,0,0,0,0,0,39,0,39
BIHAR,6,0,0,2,0,4,0,0,0,0,0,6,0,6
BIHAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,116,0,0,49,8,38,9,10,2,0,0,97,19,116
BIHAR,7,0,0,5,0,2,0,0,0,0,0,7,0,7
BIHAR,2778,1,15,934,112,760,168,533,204,39,12,2267,511,2778
BIHAR,20147,155,36,9031,605,5549,997,2388,974,297,115,17420,2727,20147
CHANDIGARH,34,3,0,21,0,7,1,2,0,0,0,33,1,34
CHANDIGARH,48,0,0,28,0,16,0,3,1,0,0,47,1,48
CHANDIGARH,14,0,0,4,0,4,2,2,2,0,0,10,4,14
CHANDIGARH,86,0,0,45,0,28,3,5,2,3,0,81,5,86
CHANDIGARH,54,0,0,32,0,18,0,4,0,0,0,54,0,54
CHANDIGARH,32,0,0,20,0,10,0,2,0,0,0,32,0,32
CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,268,3,0,150,0,83,6,18,5,3,0,257,11,268
CHHATTISGARH,1214,0,0,115,19,505,0,575,0,0,0,1195,19,1214
CHHATTISGARH,441,53,11,243,21,92,8,8,5,0,0,396,45,441
CHHATTISGARH,211,0,1,107,9,41,16,17,17,2,1,167,44,211
CHHATTISGARH,2581,7,5,796,198,645,241,316,207,106,60,1870,711,2581
CHHATTISGARH,1891,60,0,1156,4,530,10,113,2,16,0,1875,16,1891
CHHATTISGARH,193,6,0,128,0,45,0,14,0,0,0,193,0,193
CHHATTISGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,22,1,0,11,5,2,3,0,0,0,0,14,8,22
CHHATTISGARH,1,0,0,1,0,0,0,0,0,0,0,1,0,1
CHHATTISGARH,40,0,0,13,2,11,3,7,4,0,0,31,9,40
CHHATTISGARH,6594,127,17,2570,258,1871,281,1050,235,124,61,5742,852,6594
D & N HAVELI,5,0,0,4,0,1,0,0,0,0,0,5,0,5
D & N HAVELI,11,3,0,8,0,0,0,0,0,0,0,11,0,11
D & N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2,0,0,2,0,0,0,0,0,0,0,2,0,2
D & N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,12,0,0,1,3,4,3,1,0,0,0,6,6,12
D & N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,30,3,0,15,3,5,3,1,0,0,0,24,6,30
DAMAN & DIU,10,0,0,8,1,0,0,1,0,0,0,9,1,10
DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,11,0,0,2,1,2,3,0,0,2,1,6,5,11
DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,24,0,0,10,12,0,1,1,0,0,0,11,13,24
DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,45,0,0,20,14,2,4,2,0,2,1,26,19,45
DELHI,892,62,1,549,21,207,19,25,3,5,0,848,44,892
DELHI,478,9,1,327,19,90,21,2,7,2,0,430,48,478
DELHI,300,3,0,110,16,81,35,22,22,8,3,224,76,300
DELHI,1026,0,0,609,7,339,17,25,18,6,5,979,47,1026
DELHI,939,16,0,548,9,300,10,48,3,4,1,916,23,939
DELHI,231,12,0,173,0,41,0,5,0,0,0,231,0,231
DELHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,104,0,0,9,63,8,23,1,0,0,0,18,86,104
DELHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,11,0,0,6,0,5,0,0,0,0,0,11,0,11
