KeyColumn,Name,Value
00,.,00
00,.,00
001,Kupwara,001
002,Badgam,002
003,Leh(Ladakh),003
004,Kargil,004
005,Punch,005
006,Rajauri,006
007,Kathua,007
008,Baramula,008
009,Bandipore,009
010,Srinagar,010
011,Ganderbal,011
012,Pulwama,012
013,Shopian,013
014,Anantnag,014
015,Kulgam,015
016,Doda,016
017,Ramban,017
018,Kishtwar,018
019,Udhampur,019
020,Reasi,020
021,Jammu,021
022,Samba,022
023,Chamba,023
024,Kangra,024
025,"Lahul & Spiti",025
026,Kullu,026
027,Mandi,027
028,Hamirpur,028
029,Una,029
030,Bilaspur,030
031,Solan,031
032,Sirmaur,032
033,Shimla,033
034,Kinnaur,034
035,Gurdaspur,035
036,Kapurthala,036
037,Jalandhar,037
038,Hoshiarpur,038
039,Nawanshahr,039
040,"Fatehgarh Sahib",040
041,Ludhiana,041
042,Moga,042
043,Firozpur,043
044,Muktsar,044
045,Faridkot,045
046,Bathinda,046
047,Mansa,047
048,Patiala,048
049,Amritsar,049
050,Tarntaran,050
051,Rupnagar,051
052,"Mohali (SAS Nagar)",052
053,Sangrur,053
054,Barnala,054
055,Chandigarh,055
056,Uttarkashi,056
057,Chamoli,057
058,Rudraprayag,058
059,"Tehri Garhwal",059
060,Dehradun,060
061,Garhwal,061
062,Pithoragarh,062
063,Bageshwar,063
064,Almora,064
065,Champawat,065
066,Nainital,066
067,"Udham Singh Nagar",067
068,Hardwar,068
069,Panchkula,069
070,Ambala,070
071,Yamunanagar,071
072,Kurukshetra,072
073,Kaithal,073
074,Karnal,074
075,Panipat,075
076,Sonipat,076
077,Jind,077
078,Fatehabad,078
079,Sirsa,079
080,Hisar,080
081,Bhiwani,081
082,Rohtak,082
083,Jhajjar,083
084,Mahendragarh,084
085,Rewari,085
086,Gurgaon,086
087,Mewat,087
088,Faridabad,088
089,Palwal,089
090,"North West",090
090,North,090
092,"North East",092
093,East,093
094,"New Delhi",094
095,Central,095
096,West,096
097,"South West",097
098,South,098
099,Ganganagar,099
100,Hanumangarh,100
101,Bikaner,101
102,Churu,102
103,Jhunjhunun,103
104,Alwar,104
105,Bharatpur,105
106,Dhaulpur,106
107,Karauli,107
108,"Sawai Madhopur",108
109,Dausa,109
110,Jaipur,110
111,Sikar,111
112,Nagaur,112
113,Jodhpur,113
114,Jaisalmer,114
115,Barmer,115
116,Jalor,116
117,Sirohi,117
118,Pali,118
