STATE,Year,Crime Type,Number
A & N Islands,2001,MURDER,13
A & N Islands,2002,MURDER,17
A & N Islands,2003,MURDER,21
A & N Islands,2004,MURDER,15
A & N Islands,2005,MURDER,14
A & N Islands,2006,MURDER,4
A & N Islands,2007,MURDER,15
A & N Islands,2008,MURDER,8
A & N Islands,2009,MURDER,15
A & N Islands,2010,MURDER,9
A & N Islands,2011,MURDER,14
A & N Islands,2012,MURDER,15
Andhra Pradesh,2001,MURDER,2602
Andhra Pradesh,2002,MURDER,2525
Andhra Pradesh,2003,MURDER,2667
Andhra Pradesh,2004,MURDER,2579
Andhra Pradesh,2005,MURDER,2750
Andhra Pradesh,2006,MURDER,2766
Andhra Pradesh,2007,MURDER,2665
Andhra Pradesh,2008,MURDER,2690
Andhra Pradesh,2009,MURDER,2449
Andhra Pradesh,2010,MURDER,2538
Andhra Pradesh,2011,MURDER,2808
Andhra Pradesh,2012,MURDER,2717
Arunachal Pradesh,2001,MURDER,83
Arunachal Pradesh,2002,MURDER,61
Arunachal Pradesh,2003,MURDER,77
Arunachal Pradesh,2004,MURDER,67
Arunachal Pradesh,2005,MURDER,81
Arunachal Pradesh,2006,MURDER,60
Arunachal Pradesh,2007,MURDER,68
Arunachal Pradesh,2008,MURDER,72
Arunachal Pradesh,2009,MURDER,59
Arunachal Pradesh,2010,MURDER,75
Arunachal Pradesh,2011,MURDER,65
Arunachal Pradesh,2012,MURDER,73
Assam,2001,MURDER,1356
Assam,2002,MURDER,1253
Assam,2003,MURDER,1191
Assam,2004,MURDER,1214
Assam,2005,MURDER,1194
Assam,2006,MURDER,1207
Assam,2007,MURDER,1374
Assam,2008,MURDER,1426
Assam,2009,MURDER,1323
Assam,2010,MURDER,1223
Assam,2011,MURDER,1303
Assam,2012,MURDER,1368
Bihar,2001,MURDER,3643
Bihar,2002,MURDER,3712
Bihar,2003,MURDER,3771
Bihar,2004,MURDER,3948
Bihar,2005,MURDER,3471
Bihar,2006,MURDER,3249
Bihar,2007,MURDER,3034
Bihar,2008,MURDER,3139
Bihar,2009,MURDER,3152
Bihar,2010,MURDER,3362
Bihar,2011,MURDER,3198
Bihar,2012,MURDER,3566
Chandigarh,2001,MURDER,15
Chandigarh,2002,MURDER,31
Chandigarh,2003,MURDER,21
Chandigarh,2004,MURDER,22
Chandigarh,2005,MURDER,18
Chandigarh,2006,MURDER,12
Chandigarh,2007,MURDER,19
Chandigarh,2008,MURDER,17
Chandigarh,2009,MURDER,22
Chandigarh,2010,MURDER,21
Chandigarh,2011,MURDER,24
Chandigarh,2012,MURDER,21
Chhattisgarh,2001,MURDER,880
Chhattisgarh,2002,MURDER,844
Chhattisgarh,2003,MURDER,776
Chhattisgarh,2004,MURDER,927
Chhattisgarh,2005,MURDER,1013
Chhattisgarh,2006,MURDER,1098
Chhattisgarh,2007,MURDER,1097
Chhattisgarh,2008,MURDER,1169
Chhattisgarh,2009,MURDER,1083
Chhattisgarh,2010,MURDER,1065
Chhattisgarh,2011,MURDER,1110
Chhattisgarh,2012,MURDER,998
D & N Haveli,2001,MURDER,3
D & N Haveli,2002,MURDER,11
D & N Haveli,2003,MURDER,11
D & N Haveli,2004,MURDER,11
D & N Haveli,2005,MURDER,7
D & N Haveli,2006,MURDER,9
D & N Haveli,2007,MURDER,10
D & N Haveli,2008,MURDER,9
D & N Haveli,2009,MURDER,10
D & N Haveli,2010,MURDER,6
D & N Haveli,2011,MURDER,14
D & N Haveli,2012,MURDER,7
Daman & Diu,2001,MURDER,7
Daman & Diu,2002,MURDER,8
Daman & Diu,2003,MURDER,6
Daman & Diu,2004,MURDER,3
Daman & Diu,2005,MURDER,5
Daman & Diu,2006,MURDER,6
Daman & Diu,2007,MURDER,12
Daman & Diu,2008,MURDER,2
Daman & Diu,2009,MURDER,5
Daman & Diu,2010,MURDER,5
Daman & Diu,2011,MURDER,6
Daman & Diu,2012,MURDER,3
Goa,2001,MURDER,36
Goa,2002,MURDER,30
Goa,2003,MURDER,34
Goa,2004,MURDER,40
Goa,2005,MURDER,45
Goa,2006,MURDER,39
Goa,2007,MURDER,33
Goa,2008,MURDER,49
Goa,2009,MURDER,53
Goa,2010,MURDER,35
Goa,2011,MURDER,48
Goa,2012,MURDER,45
Gujarat,2001,MURDER,1226
Gujarat,2002,MURDER,1532
Gujarat,2003,MURDER,1114
Gujarat,2004,MURDER,1113
Gujarat,2005,MURDER,1033
Gujarat,2006,MURDER,1165
Gujarat,2007,MURDER,1166
Gujarat,2008,MURDER,1106
Gujarat,2009,MURDER,1020
Gujarat,2010,MURDER,1048
Gujarat,2011,MURDER,1126
Gujarat,2012,MURDER,1126
Haryana,2001,MURDER,781
Haryana,2002,MURDER,760
Haryana,2003,MURDER,702
Haryana,2004,MURDER,733
Haryana,2005,MURDER,784
Haryana,2006,MURDER,873
Haryana,2007,MURDER,911
Haryana,2008,MURDER,921
Haryana,2009,MURDER,948
Haryana,2010,MURDER,1005
Haryana,2011,MURDER,1062
Haryana,2012,MURDER,991
Himachal Pradesh,2001,MURDER,119
Himachal Pradesh,2002,MURDER,123
Himachal Pradesh,2003,MURDER,125
Himachal Pradesh,2004,MURDER,110
Himachal Pradesh,2005,MURDER,110
Himachal Pradesh,2006,MURDER,111
Himachal Pradesh,2007,MURDER,127
Himachal Pradesh,2008,MURDER,129
Himachal Pradesh,2009,MURDER,125
Himachal Pradesh,2010,MURDER,132
Himachal Pradesh,2011,MURDER,130
Himachal Pradesh,2012,MURDER,113
Jammu & Kashmir,2001,MURDER,1075
Jammu & Kashmir,2002,MURDER,1048
Jammu & Kashmir,2003,MURDER,929
Jammu & Kashmir,2004,MURDER,816
Jammu & Kashmir,2005,MURDER,647
Jammu & Kashmir,2006,MURDER,487
Jammu & Kashmir,2007,MURDER,318
Jammu & Kashmir,2008,MURDER,237
Jammu & Kashmir,2009,MURDER,237
Jammu & Kashmir,2010,MURDER,217
Jammu & Kashmir,2011,MURDER,169
Jammu & Kashmir,2012,MURDER,124
Jharkhand,2001,MURDER,1507
Jharkhand,2002,MURDER,1488
Jharkhand,2003,MURDER,1482
Jharkhand,2004,MURDER,1488
Jharkhand,2005,MURDER,1523
Jharkhand,2006,MURDER,1492
Jharkhand,2007,MURDER,1617
Jharkhand,2008,MURDER,1697
Jharkhand,2009,MURDER,1636
Jharkhand,2010,MURDER,1689
Jharkhand,2011,MURDER,1747
Jharkhand,2012,MURDER,1694
Karnataka,2001,MURDER,1626
Karnataka,2002,MURDER,1627
Karnataka,2003,MURDER,1506
Karnataka,2004,MURDER,1519
Karnataka,2005,MURDER,1609
Karnataka,2006,MURDER,1627
Karnataka,2007,MURDER,1538
Karnataka,2008,MURDER,1698
Karnataka,2009,MURDER,1702
Karnataka,2010,MURDER,1805
Karnataka,2011,MURDER,1820
Karnataka,2012,MURDER,1860
Kerala,2001,MURDER,472
Kerala,2002,MURDER,454
Kerala,2003,MURDER,435
