STATE,Crime,value
A & N Islands,ARSON,98
A & N Islands,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,214
A & N Islands,ATTEMPT TO MURDER,65
A & N Islands,CAUSING DEATH BY NEGLIGENCE,42
A & N Islands,CRUELTY BY HUSBAND OR HIS RELATIVES,121
A & N Islands,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,21
A & N Islands,CUSTODIAL RAPE,0
A & N Islands,DOWRY DEATHS,6
A & N Islands,HURT/GREVIOUS HURT,1105
A & N Islands,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0
A & N Islands,INSULT TO MODESTY OF WOMEN,43
A & N Islands,KIDNAPPING & ABDUCTION,94
A & N Islands,MURDER,160
A & N Islands,OTHER IPC CRIMES,4443
A & N Islands,OTHER RAPE,109
A & N Islands,RAPE,109
A & N Islands,TOTAL IPC CRIMES,9102
Andhra Pradesh,ARSON,11968
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,51999
Andhra Pradesh,ATTEMPT TO MURDER,22420
Andhra Pradesh,CAUSING DEATH BY NEGLIGENCE,138435
Andhra Pradesh,CRUELTY BY HUSBAND OR HIS RELATIVES,119007
Andhra Pradesh,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,1763
Andhra Pradesh,CUSTODIAL RAPE,2
Andhra Pradesh,DOWRY DEATHS,6215
Andhra Pradesh,HURT/GREVIOUS HURT,546565
Andhra Pradesh,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,17
Andhra Pradesh,INSULT TO MODESTY OF WOMEN,36131
Andhra Pradesh,KIDNAPPING & ABDUCTION,21239
Andhra Pradesh,MURDER,31756
Andhra Pradesh,OTHER IPC CRIMES,482252
Andhra Pradesh,OTHER RAPE,13477
Andhra Pradesh,RAPE,13479
Andhra Pradesh,TOTAL IPC CRIMES,2018981
Arunachal Pradesh,ARSON,250
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,784
Arunachal Pradesh,ATTEMPT TO MURDER,417
Arunachal Pradesh,CAUSING DEATH BY NEGLIGENCE,745
Arunachal Pradesh,CRUELTY BY HUSBAND OR HIS RELATIVES,167
Arunachal Pradesh,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,36
